run,subset,metric,value
A_direct,ALL,n,66
A_direct,ALL,fp_composite,29
A_direct,ALL,bob_composite,31
A_direct,ALL,sim_pass,34
A_direct,ALL,validator_pass,34
A_direct,ALL,semantic_pass,58
A_direct,ALL,param_sweep_pass,63
A_direct,ALL,input_tokens,25252
A_direct,ALL,output_tokens,324290
A_direct,ALL,total_tokens,349542
A_direct,ALL,tokens_per_task,5296.090909090909
A_direct,ALL,cost_total_usd,0.29311692
A_direct,ALL,cost_per_task_usd,0.004441165454545455
A_direct,ALL,expert_mean,3.784848484848485
A_direct,ALL,expert_n,66
A_direct,ALL,trace_present,0
A_direct,ALL,task_alignment_score,3.9545454545454546
A_direct,ALL,biological_reasonableness_score,4.196969696969697
A_direct,ALL,liquid_handling_quality_score,3.590909090909091
A_direct,ALL,safety_control_score,3.8636363636363638
A_direct,ALL,code_quality_score,3.3181818181818183
A_direct,ALL,repair_0,66
A_direct,EOPL,n,18
A_direct,EOPL,fp_composite,7
A_direct,EOPL,bob_composite,7
A_direct,EOPL,sim_pass,8
A_direct,EOPL,validator_pass,8
A_direct,EOPL,semantic_pass,14
A_direct,EOPL,param_sweep_pass,17
A_direct,EOPL,input_tokens,7714
A_direct,EOPL,output_tokens,119979
A_direct,EOPL,total_tokens,127693
A_direct,EOPL,tokens_per_task,7094.055555555556
A_direct,EOPL,cost_total_usd,0.10773732
A_direct,EOPL,cost_per_task_usd,0.005985406666666667
A_direct,EOPL,expert_mean,3.5555555555555554
A_direct,EOPL,expert_n,18
A_direct,EOPL,trace_present,
A_direct,EOPL,task_alignment_score,3.6666666666666665
A_direct,EOPL,biological_reasonableness_score,3.9444444444444446
A_direct,EOPL,liquid_handling_quality_score,3.388888888888889
A_direct,EOPL,safety_control_score,3.7222222222222223
A_direct,EOPL,code_quality_score,3.0555555555555554
A_direct,EOPL,repair_0,18
A_direct,EOPEN,n,18
A_direct,EOPEN,fp_composite,6
A_direct,EOPEN,bob_composite,7
A_direct,EOPEN,sim_pass,8
A_direct,EOPEN,validator_pass,8
A_direct,EOPEN,semantic_pass,15
A_direct,EOPEN,param_sweep_pass,16
A_direct,EOPEN,input_tokens,8002
A_direct,EOPEN,output_tokens,116530
A_direct,EOPEN,total_tokens,124532
A_direct,EOPEN,tokens_per_task,6918.444444444444
A_direct,EOPEN,cost_total_usd,0.10486197
A_direct,EOPEN,cost_per_task_usd,0.005825665
A_direct,EOPEN,expert_mean,3.8444444444444446
A_direct,EOPEN,expert_n,18
A_direct,EOPEN,trace_present,
A_direct,EOPEN,task_alignment_score,4.0
A_direct,EOPEN,biological_reasonableness_score,4.166666666666667
A_direct,EOPEN,liquid_handling_quality_score,3.6666666666666665
A_direct,EOPEN,safety_control_score,3.888888888888889
A_direct,EOPEN,code_quality_score,3.5
A_direct,EOPEN,repair_0,18
A_direct,EPLR,n,30
A_direct,EPLR,fp_composite,16
A_direct,EPLR,bob_composite,17
A_direct,EPLR,sim_pass,18
A_direct,EPLR,validator_pass,18
A_direct,EPLR,semantic_pass,29
A_direct,EPLR,param_sweep_pass,30
A_direct,EPLR,input_tokens,9536
A_direct,EPLR,output_tokens,87781
A_direct,EPLR,total_tokens,97317
A_direct,EPLR,tokens_per_task,3243.9
A_direct,EPLR,cost_total_usd,0.08051763
A_direct,EPLR,cost_per_task_usd,0.002683921
A_direct,EPLR,expert_mean,3.8866666666666663
A_direct,EPLR,expert_n,30
A_direct,EPLR,trace_present,
A_direct,EPLR,task_alignment_score,4.1
A_direct,EPLR,biological_reasonableness_score,4.366666666666666
A_direct,EPLR,liquid_handling_quality_score,3.6666666666666665
A_direct,EPLR,safety_control_score,3.933333333333333
A_direct,EPLR,code_quality_score,3.3666666666666667
A_direct,EPLR,repair_0,30
A_direct,ALL,provider_events,2
A_direct,ALL,final_api_fail,0
A_direct,ALL,tool_calls,0
A_direct,ALL,simulator_calls,66
A_direct,ALL,package_complete,66
A_direct,ALL,trace_present_count_toplevel,0
A_direct,ALL,model_id,deepseek-v4-pro
B_agent,ALL,n,66
B_agent,ALL,fp_composite,47
B_agent,ALL,bob_composite,56
B_agent,ALL,sim_pass,60
B_agent,ALL,validator_pass,60
B_agent,ALL,semantic_pass,64
B_agent,ALL,param_sweep_pass,64
B_agent,ALL,input_tokens,4175137
B_agent,ALL,output_tokens,405170
B_agent,ALL,total_tokens,4580307
B_agent,ALL,tokens_per_task,69398.59090909091
B_agent,ALL,cost_total_usd,2.168682495
B_agent,ALL,cost_per_task_usd,0.032858825681818186
B_agent,ALL,expert_mean,4.3121212121212125
B_agent,ALL,expert_n,66
B_agent,ALL,trace_present,66
B_agent,ALL,task_alignment_score,4.53030303030303
B_agent,ALL,biological_reasonableness_score,4.636363636363637
B_agent,ALL,liquid_handling_quality_score,4.090909090909091
B_agent,ALL,safety_control_score,4.287878787878788
B_agent,ALL,code_quality_score,4.015151515151516
B_agent,ALL,repair_0,53
