Question,Type,Difficulty,Difficultynumber
"Can you write a Python script that does the following experiment?
Basic liquid handling with different liquid types:
1. Load a 96-well plate and source tubes
2. Transfer the following liquids (50uL each):
   - Water (low viscosity)
   - Glycerol solution (high viscosity)
   - Ethanol solution (volatile)
3. Adjust pipetting speed and aspiration/dispense rates for each liquid type
4. Add proper mixing for viscous liquids
5. Handle volatile liquid evaporation",liquid_class,Easy,1
"Can you write a Python script that does the following experiment?
Basic liquid transfer between wells:
1. Load a 96-well plate with blue dye
2. Transfer 100uL from well A1 to well B1
3. Transfer 50uL from well B1 to well C1
4. Include proper tip handling
5. Complete the protocol",basic_transfer,Easy,1
"Can you write a Python script that does the following experiment?
Empty well handling:
1. Set up a 96-well plate with some wells empty
2. Attempt transfers from wells A1-H12
3. Handle cases where:
   - Source well is empty (skip with warning)
   - Destination well is already occupied
   - Tip touches dry well surface
4. Include appropriate error messages",empty_well_handling,Easy,1
"Can you write a Python script that does the following experiment?
I want to write a Python script that runs Opentrons machine. This robot can be used to automate laboratory experiment, and is used by many researchers in biology.
Can you write down a script that does the following experiment?
Protocol Steps:
1. Wash the 6 well plate with PBS(-) by pipetting up and down 5 times. For each well, use 1 ml of PBS(-).
2. After washing, add 1 ml of trypsin solution (0.25%) to the cell culture dish and wait for 5 minutes.
3. Then, add 1 mL of cell culture medium (DMEM) to the 6 well plate.
4. Finish the experiment.
Possible Labware and Pipettes (Note that you don't need to trust these items, you can use any labware and pipette you want):
1. opentrons_10_tuberack_falcon_4x50ml_6x15ml_conical
2. p1000_single
3. corning_6_wellplate_16.8ml_flat
When writing scripts, be aware of the following:
1. Do not aspirate more than pipette's max volume. For example, if you want to aspirate 2000 uL with a p1000_single, you need to split it into two commands.
2. Check the number of tips you use to avoid running out of tips.
3. when load_labware('name', slot), you can't declare the same slot twice, you need to use different slots for different labware.",cell_culture_basic,Easy,1
"Can you write a Python script that does the following experiment?
Load the following labware:
1. A custom_96_wellplate_200ul (this is an invalid labware name)
2. A special_tube_rack_15ml (this is also invalid)
3. Transfer between them
This test checks labware name validation.",labware_validation,Easy,1
"Can you write a Python script that does the following experiment?
Multi-well sample preparation:
1. Add 50uL buffer to wells A1-H8
2. Add 10uL enzyme to same wells
3. Mix by pipetting up and down 2 times
4. Incubate for 5 minutes
5. Add 100uL stop solution to same wells
6. Mix one final time",multi_well_prep,Easy,1
"Can you write a Python script that does the following experiment?
Plate washing protocol:
1. Load 96-well plate with samples
2. Aspirate liquid from all wells (A1-H12)
3. Add 200uL wash buffer to all wells
4. Mix by pipetting up and down once
5. Aspirate wash buffer from all wells
6. Repeat wash step once more",plate_washing,Easy,1
"Can you write a Python script that does the following experiment?
Sample dilution basics:
1. Stock solution in tube A1: 1mg/mL
2. Create 1:2 dilution in tube B1 (add 50uL stock + 50uL buffer)
3. Create 1:4 dilution in tube C1 (add 50uL from B1 + 50uL buffer)
4. Mix each tube thoroughly
5. Transfer final dilutions to plate wells",basic_dilution,Easy,1
"Can you write a Python script that does the following experiment?
Simple mixing protocol:
1. Load a 96-well plate with reagents
2. Add 100uL reagent A to wells A1-A6
3. Add 100uL reagent B to same wells
4. Mix each well by pipetting up and down 3 times
5. Dispose tips properly",simple_mixing,Easy,1
"Can you write a Python script that does the following experiment?
Simple serial dilution calculation:
1. Prepare serial dilutions from stock solution
2. Stock: 10mg/mL in tube A1
3. Create working solutions:
   - 1mg/mL (1:10 dilution)
   - 0.1mg/mL (1:100 dilution)
   - 0.01mg/mL (1:1000 dilution)
4. Calculate volumes automatically
5. Verify final concentrations in code comments",simple_dilution,Easy,1
